LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
2575,npm とか bower とか一体何なんだよ！Javascript 界隈の文脈を理解しよう,"[""JavaScript"", ""Node.js"", ""CommonJS"", ""browserify""]",のサーバーサイドの開発に ruby を使おうが php を使おうが、bower という node.js で書かれたプログラムを実行するために、node.js という処理系が必 ...,https://qiita.com//megane42/items/2ab6ffd866c3f2fda066,5,megane42
2477,Cookieとセッションをちゃんと理解する,"[""PHP""]","引用/参考書籍
「よくわかるPHPの教科書」
「初めてのPHP5」
「パーフェクトPHP」
「体系的に学ぶ安全なWebアプリケーションの作 ...",https://qiita.com//hththt/items/07136ad74127999df271,2,hththt
2449,Javaを使うなら知っておきたい技術、フレームワーク、ライブラリ、ツールまとめ,"[""ツール"", ""ライブラリ"", ""Java""]","を採用しているため、コンパイル無しでもブラウザで表示ができる。
Mustache.java
Java以外にRuby, JavaScript, Python, PHP, Go, ...",https://qiita.com//disc99/items/727b51dbe737602a5c91,17,disc99
2378,動的言語だけやってた僕が、38日間Go言語を書いて学んだこと,"[""Go"", ""PHP"", ""Java""]","、これからGo言語を始めるプログラマにちょっとでもヒントになるように、どのようにGo言語を始めて、どのような手順で学んできたかまとめておきます。
筆者のバックグランド
PHP ...",https://qiita.com//suin/items/22662f43b6a6e8728798,2,suin
2330,もっと気軽にアウトプットできる技術ブログサービス「Qrunch（クランチ）」をリリースした【個人開発】,"[""Webサービス"", ""個人開発"", ""Ruby"", ""Markdown"", ""Rails""]","ールサーバー
CloudFlare（CDN）
Git , GitHub
Railsを始めて使った
私自身、今までいくつかWebサービスを作ってきたのですが、その時は毎回PHP ...",https://qiita.com//terubooon/items/95a561d163d26bbfe274,39,terubooon
2240,Python Django入門 (1),"[""Python"", ""Django""]","
JavaもしくはPHPは、やったことがあるんだけど、というPython以外の開発経験がある方を想定しています。
一部、UNIX的な知識が必要になるかもしれません。その場合ま ...",https://qiita.com//kaki_k/items/511611cadac1d0c69c54,3,kaki_k
2170,新卒の子にどこまで勉強すれば良いですかね？と聞かれた件,"[""学習"", ""エンジニア"", ""生存戦略"", ""効率化"", ""新人プログラマ応援""]","だったので、エンジニア歴は11年となります。
ほとんどの現場がデスマーチ状態だったので、2ヶ月くらい前に転職して、
現在はホワイトな会社のリクルート住まいカンパニーで、PHP ...",https://qiita.com//daijinload/items/0ee132950087da9366df,7,daijinload
2109,2018年のフロントエンドエンジニアならこの程度は知ってて当然だよな？,"[""JavaScript"", ""フロントエンド"", ""エンジニア""]","s
文字列操作ライブラリ。
voca
string.js対抗馬。
wait
10秒待って的なやつ。
xregexp.com
正規表現エンジン。
トランスパイラ
要するにPHP ...",https://qiita.com//rana_kualu/items/96b303307d6435aedf8b,25,rana_kualu
2078,Webアプリケーションフレームワーク導入時に考慮すべき22の観点,"[""設計"", ""DDD"", ""アーキテクチャ"", ""フレームワーク""]","するために必要な準備が異なる。
JavaのSpringでは、アノテーションを使って宣言的に定義するだけで、DIを実現できる。一方、Google GuiceやPHPのLarav ...",https://qiita.com//tmknom/items/08b69594e32a92bccee5,10,tmknom
2063,iPadでプログラミングしてる人、今まで馬鹿にしててすみませんでしたァァァァ!!!!,"[""JavaScript"", ""HTML"", ""CSS"", ""Vue.js"", ""iPhone""]","ったらiPadだけで楽に作れるやんけ...)
ワイ「お、、おうおう。中々書けるみたいやな。」
ワイ「でもなあ〜〜〜。これって結局フロントエンドの話だけ確認できるやんな？PHP ...",https://qiita.com//Mahito6/items/94c5720a7d477eb4c2f1,21,Mahito6
2035,2020年の開発者が知っておくべき11の必須スキル,"[""プログラミング"", ""初心者"", ""日本語訳"", ""スキルアップ""]","心者にはコードを変えたらすぐに結果が出てくるという経験が必要なのです。
あとJavaは今後ライセンス的にいろいろと面倒なので、単純に避けた方がいいと思います。
結局私はPHP ...",https://qiita.com//rana_kualu/items/c79a16ff503c86b27483,9,rana_kualu
