LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
33,WordPress大好きな自分がPowerCMSで行政サイトを制作した時に役立った情報,"[""CMS"", ""MovableType"", ""PowerCMS"", ""WordPress""]","バンドル)
インストール
プラグインを大量に使うため、コンソールから必要なperlのライブラリを入れないといけません。WordPressしか知らないと管理画面からインストール ...",https://qiita.com//hose/items/ddb02c6080469850e281,,hose
33,Raspberry Piでbluezを使ってBLESerialとつなぐ,"[""BLE"", ""Linux"", ""Bluez"", ""BLESerial"", ""RaspberryPi""]","コマンド。
受け取っているのはバイナリデータなので、下記のようにperlに食わせたらいい感じに取れるようになった。
$ ./attrib/gatttool -b XX:XX: ...",https://qiita.com//yujimny/items/7e92f240f48550585500,,yujimny
32,PHPでFizzBuzz最短56バイト,"[""PHP"", ""FizzBuzz""]","
　http://perl-users.jp/articles/advent-calendar/2010/sym/2
を見といてください。
PHPでは現状56バイトが最高記録 ...",https://qiita.com//rana_kualu/items/6f6722558fc5c8bb204a,1,rana_kualu
33,Middleman入門,"[""Ruby""]","  ├── php2.snippet
│   │   └── sample.php
│   └── pl
│       ├── ga.pl
│       ├── perl ...",https://qiita.com//k2works/items/7bedb2e6847dea751880,2,k2works
35,Clash of Codeへの誘い,"[""C++"", ""競技プログラミング"", ""Ruby""]","人も勉強してでも別の言語をほうが順位が伸びやすいかもしれません。
強い言語
Clash of Code で強い言語をいくつか書いておきます。
Python
Ruby
Perl ...",https://qiita.com//soraie/items/9d5fc4ef40889c11a2b8,1,soraie
33,日本語原稿の git コミット間の編集距離を調べる,"[""Git"", ""Python""]","3       TOTAL
これで総字数の変化がなくても3文字の進捗があったことがわかり、桃太郎も後顧の憂いなく鬼退治に集中できる。
参考資料
こちらの記事を参考に、Perl ...",https://qiita.com//yubais/items/24ff64995dda6ee8bf97,1,yubais
33,LaTeXで同人誌を作る際のTips,"[""LaTeX"", ""TeXLive""]","たPDFはトンボを含めた版面がA4の中央に表示される。DVIはずれたままだけど。
latexmk
LaTeX用のMakefileみたいなもの。
#!/usr/bin/perl ...",https://qiita.com//makisyu/items/4ee7e0269a711c9db21c,,makisyu
33,MacPortsの紹介,"[""macports"", ""MacOSX""]","ッケージ管理システムは3つあります。用途や好みに合わせて選択すれば良いと思いますが、混乱の元ですのでどれか一つだけを使うことをお勧めします。
Fink 2000年〜。Perl ...",https://qiita.com//tenomoto/items/66614f982de96641d662,1,tenomoto
35,Crystal 言語の 2015年とそれまでの生い立ちを振り返ってみて,"[""crystal"", ""Ruby""]","のドキュメントを Rubyから転載したいと申し出たところ、""OKです、私も昔 Perlから転載しました""
　　　Jhassさん　Play.crystal-Lang.org を ...",https://qiita.com//yahhonob/items/dd115c8ca040c7634a9a,,yahhonob
33,Jenkisジョブ作成について,"[""GitLab"", ""grunt"", ""Jenkis"", ""rsync"", ""gulp""]","
#!/bin/bash、#!/bin/sh、#!/bin/csh -f、#!/usr/bin/perl、#!/usr/bin/rubyなどがある
gitコマンド
gitコマ ...",https://qiita.com//sekiyaeiji/items/963062c2ce0bdfefa50c,,sekiyaeiji
33,Docker-Composeで立てたMySQL用コンテナの日本語設定の仕方,"[""docker-compose"", ""MySQL"", ""Debian"", ""LaraDock"", ""Laravel""]",", so the dialog based frontend cannot be used. at /usr/share/perl5/Debconf/FrontEnd/Dia ...",https://qiita.com//maejima_f/items/4d5432aa471a9deaea7f,,maejima_f
33,シェルスクリプトの互換性と生産性の問題を解決する高度なプログラミング技術 〜1万行のコードをメンテしつづけるのに必要なもの〜,"[""ShellScript"", ""Bash"", ""shell"", ""シェルスクリプト""]"," -
fi
こんなやり方では何かを修正したいときにコードのあちこちに手を入れる必要がでてくるので大変になります。また例えば curl も wget も入っていないが perl ...",https://qiita.com//ko1nksm/items/262c98cce879ba11dac4,,ko1nksm
33,Apache Cordova チュートリアルやった,"[""Cordova"", ""SPA""]","ting a Cordova Project
とりあえずnode.jsのインストールをnodebrewでやった。
curl -L git.io/nodebrew | perl ...",https://qiita.com//maimai-swap/items/558797b7ab3202ac3c86,,maimai-swap
33,Zabbix構築・運用ガイド,"[""zabbix"", ""CentOS""]","y.com
SNMPトラップ受信設定（SNTPのトラップ監視を用いる場合）
パッケージをインストールする
yum install net-snmp net-snmp-perl ...",https://qiita.com//yusukew62/items/1c2a74543f01c830b6a7,,yusukew62
34,Docker 上でお手軽にC#9（.NET 5）を試す,"[""C#"", "".NET"", ""Docker"", "".NET5"", ""C#9.0""]","e program is installed, so the dialog based frontend cannot be used. at /usr/share/perl ...",https://qiita.com//Nossa/items/e7a2a380c24c0c92192c,5,Nossa
34,BlocklyでWebSocket通信　[その１：カスタムブロックの作り方],"[""Blockly"", ""Scratch"", ""JavaScript"", ""Node.js"", ""ブロックプログラミング""]"," code = '(' + value_v1 + '+' + value_v2 + ')/2';
ちょっとややこしいですが、こんな感じで書きます。もしあなたが、かつてPerl ...",https://qiita.com//abarth500/items/d6ebaf33878bf748c51e,,abarth500
31,perlbrew や cpanm と carton ,"[""Perl""]","rlbrew
perlbrew
perlbrewは非アドミン環境(ローカル環境)にperlの本体をインストールすることができるツール。OSに付属するperl ...",https://qiita.com//hiyuzawa/items/ba32532a60f1e1353a8c,,hiyuzawa
32,MariaDBのチューニングにもMySQLTunerが役立つぞ、という話,"[""Perl"", ""MySQL"", ""CentOS"", ""centos7""]","わせ適切に施す必要がある。
アプリケーションの特性や構成なども絡むので、具体的に「何をどれだけ」という仕切りがわかりにくい。
MySQLではMySQLTunerというPerl ...",https://qiita.com//Hiroki_lzh/items/3ec45f017e3be82e7b08,,Hiroki_lzh
33,Perl Time::Local::timelocalで起きている2020年問題をなんとか直した話,"[""Perl""]","列にする処理とは逆)
my ($sec, $min, $hour, $mday, $month, $year) = (0, 0, 0, 1, 1, 1970);
# Perl ...",https://qiita.com//ulwlu/items/082356588896c1e481f1,,ulwlu
34,Vimと外部コマンドをつなぐ!コマンド(仮称),"[""Vim""]","64 -nle 'puts Base64.encode64($_)'
"" 選択範囲にある全ての数字をその数字に1を足した数字へと書き換える
:'<,'>!perl ...",https://qiita.com//nil2/items/9f2365eb1e8abf3d323b,,nil2
32,MySQLで、特定のテーブルをTRUNCATEしちゃった時の復旧方法,"[""MySQL"", ""ShellScript""]","退避させておく
binlogからやっちまう直前まで復旧
次に朝5時からメンテナンス入れたところまでのSQLをbinlogから抜き取る。
どこかの天才が作ってくれていたperl ...",https://qiita.com//kojirock5260/items/998fcfb4ec638a95dc31,,kojirock5260
32,レガシーなPHPを改善する為に(新入社員が勝手に)取り組んだ3つの事,"[""PHP""]","ければならないか？」を決定する必要がありました。
その際に参考にさせていただいたのは、 @naoya@github さんが、2013年のYAPCで発表していた「モダンPerl ...",https://qiita.com//yaaamaaaguuu/items/6d1e84babe21992b721a,,yaaamaaaguuu
32,Dockerに出てくるcowsayってなに？,"[""Docker"", ""Perl""]","  
Sywalker
koala 
イメージの中に入ってみよう！
なかなか面白かったので、イメージの中に入ってcowファイルを眺めてみます。
（cowsay自体は、perl ...",https://qiita.com//akiko-pusu/items/b42d3e326e56e172b30f,,akiko-pusu
32,Advent Calendar 2016 投稿数の多いユーザランキング（上位50位）,"[""Qiita"", ""AdventCalendar"", ""C#""]",) ErlangでArduino UNOのcode updateをするには(C言語 21日目) C言語の需要について考える(FreeBSD 22日目) Perl 5 on F ...,https://qiita.com//kobake@github/items/5e52e54f19494d4125a9,4,kobake@github
31,[Git] CentOS7に最新版のgitをインストール,"[""centos7"", ""Git""]", sudo yum -y install curl-devel expat-devel gettext-devel openssl-devel zlib-devel perl ...,https://qiita.com//homines22/items/7572cdba2d60a00a3ffc,2,homines22
32,CentOS6.3にgitをソースコードから入れる,"[""Git"", ""CentOS""]","トールできるgitが1.7系だったのでソースコードから最新版を入れる事に
まずは必要なパッケージを入れておく
$ yum install -y zlib-devel perl ...",https://qiita.com//naonya3/items/54c8e3436212ad6686b3,,naonya3
32,rubyをビルドしたときのconfigureオプションを表示する,"[""Ruby""]","I/Users/xxxxxx/.rbenv/versions/2.1.0/include '
RbConfig::CONFIGには他にもビルド時の情報が盛りだくさんでperl ...",https://qiita.com//isicava@github/items/03eb13b9f5b0d2f87075,,isicava@github
32,Ubuntu 13.04 の vagrant 用 box を作る,"[""Vagrant""]"," gcc-4.7
14082 perl-modules
14992 iso-codes
16071 g++-4.7
17142 perl
22376 vim ...",https://qiita.com//amedama/items/459a9187a116ba90016c,,amedama
32,暗号化パスワード? ハッシュ化パスワード?,"[""暗号"", ""crypt"", ""ハッシュ"", ""UNIX"", ""パスワード""]",")、それをインデクスとして、データの保存・検索が効率的に行えるよね、ということ。
早い話がハッシュテーブルのアイデアだ。今でもフツーに使われていて、プログラミング言語Perl ...",https://qiita.com//angel_p_57/items/e3d1998af849f9b54f27,,angel_p_57
32,時間のかかる処理や言語間の連携をGearmanで,"[""PHP"", ""Node.js"", ""gearman""]","です
私は前述のメール配信や画像処理を書いていた2008年頃から使いはじめてた気がします
歴史があるおかげかJava/node.js/PHP/Python/Ruby/Perl ...",https://qiita.com//_takwat/items/dd84cb1dbec7c00bb058,,_takwat
32,Scala競技プログラミング（入出力、型、参考URL）,"[""Scala"", ""競技プログラミング""]"," = List.fill(rows, cols)(sc.nextInt)
println(xss)
}
参考：
Scalaで標準入力を受け取る - Perl日記
Scalaで ...",https://qiita.com//lranran/items/d058b04371ba08c2890b,,lranran
33,初心者でも10分で分かるnginxの役割と使い方,"[""nginx""]","/modules/ngx_http_perl_module.so;
env SERVER_NAME;
env API_URI;
env WEBAPP_URI;
のように使いま ...",https://qiita.com//riita10069/items/5d36dfeb756e3b6c4978,,riita10069
32,障害復旧にSiriOpsは役立つか？,"[""Siri"", ""SiriOps"", ""ChatOps"", ""neptune.io""]","brewを利用してNode.js環境を整えましょう。
nodebrewのインストール
### インストール 
$ curl -L git.io/nodebrew | perl ...",https://qiita.com//Ets/items/8a6bb318558a2680754f,,Ets
34,CRuby以外のRuby実装について調べたよ,"[""Ruby""]","同様にObjective-CアプリケーションからRuby言語で書かれたスクリプトを実行することができたようです。
Cardinal（かーでぃなる）
CardinalはPerl ...",https://qiita.com//takeyuweb/items/ea7b42746152f03efdaa,,takeyuweb
33,マイクロサービスに関わるいろいろ,"[""microservice"", ""マイクロサービス""]","rfc4627.txt ）」として公開されています。 (11)
JSONは完全に言語から独立したテキスト形式ですが、C、C++、C#、Java、JavaScript、Perl ...",https://qiita.com//MahoTakara/items/791951dccfe5f01b7f68,1,MahoTakara
33,collectdの設定方法,"[""collectd"", ""monitoring"", ""監視""]","Oracle call interfaceからデータベース情報を取得。
##LoadPlugin oracle
#---Perfアプリ実行。
#LoadPlugin perl ...",https://qiita.com//28tomono/items/33d3520e81f39fe2f96f,,28tomono
32,Nim ざっくり勉強してみたまとめ,"[""Nim""]"," () は省略可
proc addOne (foo: int) =
foo + 1
echo 2.addOne # addOne(2) と同じ意味
Perl っぽい。とても好 ...",https://qiita.com//zk_phi/items/ab1ec2575f27f921dcf5,2,zk_phi
31,メモ：Raspberry PiにシステムモニタツールMonitorixをインストールして温度とか監視する,"[""Monitorix"", ""Linux"", ""RaspberryPi""]","anのものを参考に、手動で.debを入れる方法を選択した。
% sudo apt-get update
% sudo apt-get install rrdtool perl ...",https://qiita.com//spicemanjp/items/cac5d2e7911da1666c97,,spicemanjp
31,AWS EC2上にmecab + R環境をつくる,"[""AWS"", ""mecab"", ""R"", ""Ruby""]","mecab-ruby-0.996
$ ruby extconf.rb
$ make
$ sudo make install
$ ruby test.rb
mecab-perl ...",https://qiita.com//ayaniimi213/items/1e2ab3dbd8fff7c857f1,,ayaniimi213
33,"無料のWEBサーバ(apache, http/https)セキュリティ診断ツール","[""セキュリティ""]","ック)したいですよね?
なので、無償で利用できるネットワーク?セキュリティ診断ツールを調べてみました。
Nikto2
https://cirt.net/Nikto2
perl ...",https://qiita.com//end0tknr/items/e087c87d4f356c0516fc,1,end0tknr
31,OpenID Connect対応の認証サーバ(OP/IdP)を作るために調べてみた,"[""openid_connect"", ""OpenID"", ""oauth2"", ""認証"", ""OAuth""]","
JavaScript
PHP
Python
Elixir - Uncertified
Go - Uncertified
Haskell - Uncertified
Perl ...",https://qiita.com//moomooya/items/18946804bac4d8eb05b1,,moomooya
31,ズンドコキヨシで動的型付言語のベンチマーク,"[""ズンドコキヨシ"", ""JavaScript"", ""PHP"", ""Perl"", ""Ruby""]"," 4) break;
$z = 0;
}
} while (true);
}
$out = $length / $total + 3;
echo ""$out\n"";
Perl ...",https://qiita.com//mpyw/items/b9be5c81ef9389c0267d,13,mpyw
31,Raspberry Pi 64bitモードでリアルタイムOS(TOPPERS/FMP)を動かす,"[""RaspberryPi"", ""TOPPERS"", ""RTOS""]","リ
シリアルコンソールで通信するためにTera Term，GTKTermなどをインストールしておく．
その他ツール
おそらく以下パッケージが必要となる．
make, perl ...",https://qiita.com//toshinaga/items/672c41a1f390922d5bae,1,toshinaga
35,非数をJSONに入れようとするとどうなるか,"[""非数"", ""NaN"", ""JSON"", ""C#"", ""Python""]","nf: Out of range float values are not JSON compliant
になる。正しい。なんでこちらがデフォルトじゃないんだろう。
Perl ...",https://qiita.com//Nabetani/items/1e9af1ee1d25e3b463a0,9,Nabetani
31,swiftのREPLで俺モジュールをimportする方法,"[""Swift""]","wiftのREPL、最高。
何が最高かって、あの重いコンダラじゃなくてXcodeを立ち上げなくても使えるところ。Xcode不要なので、Linuxでも動くし。
しかし、perl ...",https://qiita.com//dankogai/items/0631618b48d5e0c61154,,dankogai
